VideoFrameRate,NR,QP,VideoPacketLossRate,AudioPacketLossRate,VideoStartPTS,VideoDurationTS,VideoBitRate,VideoNBFrames,AudioDurationTS,AudioDuration,AudioBitRate,AudioNBFrames,BPP,ISC,CC,iFrameCount,iFrame0Size,iFrame1Size,iFrame2Size,iFrame3Size,iFrame4Size,pFrameCount,aFrameCount,iFrameCountDiff,iFrame0SizeDiff,iFrame1SizeDiff,iFrame2SizeDiff,iFrame3SizeDiff,iFrame4SizeDiff,pFrameCountDiff,DTS0pFrameCountDiff,DTS1pFrameCountDiff,DTS2pFrameCountDiff,DTS3pFrameCountDiff,DTS4pFrameCountDiff,DTS5pFrameCountDiff,DTS6pFrameCountDiff,DTS7pFrameCountDiff,DTS8pFrameCountDiff,DTS9pFrameCountDiff,DTS10pFrameCountDiff,DTS11pFrameCountDiff,DTS12pFrameCountDiff,DTS13pFrameCountDiff,DTS14pFrameCountDiff,DTS15pFrameCountDiff,DTS16pFrameCountDiff,DTS17pFrameCountDiff,DTS18pFrameCountDiff,DTS19pFrameCountDiff,DTS20pFrameCountDiff,DTS21pFrameCountDiff,DTS22pFrameCountDiff,DTS23pFrameCountDiff,DTS24pFrameCountDiff,DTS25pFrameCountDiff,DTS26pFrameCountDiff,DTS27pFrameCountDiff,DTS28pFrameCountDiff,DTS29pFrameCountDiff,DTS30pFrameCountDiff,DTS0pFrameMeanDiff,DTS1pFrameMeanDiff,DTS2pFrameMeanDiff,DTS3pFrameMeanDiff,DTS4pFrameMeanDiff,DTS5pFrameMeanDiff,DTS6pFrameMeanDiff,DTS7pFrameMeanDiff,DTS8pFrameMeanDiff,DTS9pFrameMeanDiff,DTS10pFrameMeanDiff,DTS11pFrameMeanDiff,DTS12pFrameMeanDiff,DTS13pFrameMeanDiff,DTS14pFrameMeanDiff,DTS15pFrameMeanDiff,DTS16pFrameMeanDiff,DTS17pFrameMeanDiff,DTS18pFrameMeanDiff,DTS19pFrameMeanDiff,DTS20pFrameMeanDiff,DTS21pFrameMeanDiff,DTS22pFrameMeanDiff,DTS23pFrameMeanDiff,DTS24pFrameMeanDiff,DTS25pFrameMeanDiff,DTS26pFrameMeanDiff,DTS27pFrameMeanDiff,DTS28pFrameMeanDiff,DTS29pFrameMeanDiff,DTS30pFrameMeanDiff,aFrameCountDiff,DTS0aFrameCountDiff,DTS1aFrameCountDiff,DTS2aFrameCountDiff,DTS3aFrameCountDiff,DTS4aFrameCountDiff,DTS5aFrameCountDiff,DTS6aFrameCountDiff,DTS7aFrameCountDiff,DTS8aFrameCountDiff,DTS9aFrameCountDiff,DTS10aFrameCountDiff,DTS11aFrameCountDiff,DTS12aFrameCountDiff,DTS13aFrameCountDiff,DTS14aFrameCountDiff,DTS15aFrameCountDiff,DTS16aFrameCountDiff,DTS17aFrameCountDiff,DTS18aFrameCountDiff,DTS19aFrameCountDiff,DTS20aFrameCountDiff,DTS21aFrameCountDiff,DTS22aFrameCountDiff,DTS23aFrameCountDiff,DTS24aFrameCountDiff,DTS25aFrameCountDiff,DTS26aFrameCountDiff,DTS27aFrameCountDiff,DTS28aFrameCountDiff,DTS29aFrameCountDiff,DTS30aFrameCountDiff,MOS
10,0,27,0.13,0,7,42886,228242,429,686286,42.892875,24404,2145,0.024765842,46911.25,0.196456074,5,47313,46457,46676,47223,47289,424,2145,0,0.080251737,0.081729218,0.081346063,0.080404562,0.080292433,0.235294118,0,0,0,0,0,0,10,0,10,-11.11111111,0,0,0,0,0,0,0,0,10,-11.11111111,0,0,0,0,0,0,0,0,10,-11.11111111,0,1.975427608,-2.541962857,-0.950127828,1.210441884,0.06766881,-1.847030505,5.932798622,-7.52,2.363236073,2.46664754,3.288476963,-2.042961609,-9.343290138,5.209169891,2.57445032,-1.109405181,-4.868139174,1.520097939,-0.205902539,0.366649925,0.980085497,2.527384182,0.119182409,-1.649076517,-4.462528589,-3.280191311,2.753781888,0.751072961,-0.935241539,-0.43030623,-1.058949834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.189655172
10,0,27,0.65,0.28,8,42884,217293,423,686265,42.891562,24336,2139,0.023577799,47062.66667,0.195824008,4,47313,0,46676,47223,47289,417,2139,20,0.080251737,100,0.081346063,0.080404562,0.080292433,1.882352941,0,0,0,0,0,0,0,0,10,11.11111111,10,0,10,0,0,0,10,0,20,-11.11111111,10,0,0,0,0,0,0,0,10,-11.11111111,0,1.975427608,-2.541962857,-0.950127828,1.210441884,0.06766881,-1.847030505,4.073205546,-7.485714286,2.363236073,0.87864008,3.534048263,-2.042961609,-7.71408351,5.209169891,2.57445032,-1.109405181,-7.758160761,1.540501938,0.223061084,0.366649925,0.259502543,2.527384182,0.119182409,-1.649076517,-4.462528589,-3.280191311,2.753781888,0.773272162,-0.935241539,-0.43030623,-1.058949834,0.27972028,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2.611111111
10,0,27,0,0,8,42885,228660,430,686289,42.893062,24403,2145,0.024811198,46911.25,0.196456074,5,47313,46457,46676,47223,47289,425,2145,0,0.080251737,0.081729218,0.081346063,0.080404562,0.080292433,0,0,0,0,0,0,0,0,0,10,-11.11111111,0,0,0,0,0,0,0,0,10,-11.11111111,0,0,0,0,0,0,0,0,10,-11.11111111,0,1.975427608,-2.541962857,-0.950127828,1.210441884,0.06766881,-1.847030505,4.073205546,-7.52,2.363236073,2.46664754,3.288476963,-2.042961609,-9.343290138,5.209169891,2.57445032,-1.109405181,-4.890300657,1.520097939,-0.205902539,0.366649925,0.980085497,2.527384182,0.119182409,-1.649076517,-4.462528589,-3.280191311,2.753781888,0.751072961,-0.935241539,-0.43030623,-1.058949834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.482758621
10,0,27,0.84,0.79,8,42883,226117,425,686261,42.891312,24211,2128,0.024535265,46911.25,0.196456074,5,47313,46457,46676,47223,47289,420,2128,0,0.080251737,0.081729218,0.081346063,0.080404562,0.080292433,1.176470588,0,10,10,10,0,0,0,0,10,-11.11111111,0,0,0,0,0,0,0,0,10,-11.11111111,0,0,0,0,0,10,0,0,10,-11.11111111,0,1.975427608,-4.722087825,-1.804861297,1.490231664,0.06766881,-1.847030505,4.073205546,-7.52,2.363236073,2.505379429,3.288476963,-2.015539305,-9.343290138,5.209169891,2.57445032,-1.109405181,-4.890300657,1.520097939,-0.186008574,0.366649925,0.980085497,2.527384182,0.119182409,-1.649076517,-4.430615393,-1.053983437,2.729448027,0.751072961,-0.935241539,-0.43030623,-1.029670115,0.792540793,0,2,0,0,0,0,0,2,0,0,0,2,0,2,2,2,0,0,0,2,0,0,0,0,2,0,0,2,0,2,0,2.24137931
10,0,27,4.8,4.85,7,42887,184147,386,686294,42.893375,23220,2041,0.019981228,47298,0.194849677,2,47313,0,0,0,47283,367,2041,60,0.080251737,100,100,100,0.092970186,13.64705882,20,20,20,10,20,0,0,10,20,22.22222222,10,0,0,20,20,0,0,30,20,22.22222222,10,0,10,40,100,10,20,10,10,22.22222222,0,-2.543061913,-0.878335628,-2.401076048,0.312737997,-2.264488375,-1.817556614,4.073205546,-9.701587302,2.375428476,4.318400721,3.375615166,-2.015539305,-9.31693389,10.60998759,3.898784674,-1.139121391,-4.890300657,3.887447654,0.200680374,-2.439549401,0.83874929,2.557531906,-0.589952923,8.152545686,100,-3.985651654,2.446566898,3.869238485,-0.907639723,-9.060567205,-1.029670115,4.848484848,4,10,4,4,10,0,0,6,0,8,8,2,2,4,4,10,6,4,4,4,10,6,2,6,0,4,6,12,14,8,4,1.25
10,999,27,0.14,0.14,8,42885,199467,428,686289,42.893062,24369,2142,0.021643555,46911.25,0.196456074,5,47315,46457,46676,47223,47289,423,2142,0,0.080248348,0.081729218,0.081346063,0.080404562,0.080292433,0.470588235,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,-11.11111111,0,0,10,0,0,0,0,0,10,-11.11111111,0,0.824956672,-1.728994237,-1.292209017,1.2956621,0.201083617,-1.312276317,3.020534862,-5.856033689,2.07319701,5.116696589,3.796584685,-2.280880227,-7.986772222,4.877199094,2.140573349,-1.782875312,-4.241257058,1.391926824,-0.0678724,0.423122765,0.695116054,2.329959991,0.097973416,-0.189671523,-4.920025592,-3.194781698,2.189199325,1.550895588,-1.590996029,-0.367318733,-0.991774109,0.13986014,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.392857143
10,999,27,0.35,0.56,8,42883,190412,426,686244,42.89025,24269,2133,0.020661024,46807.33333,0.196892225,4,47315,46457,46676,0,47289,420,2133,20,0.080248348,0.081729218,0.081346063,100,0.080292433,1.176470588,0,0,0,0,0,10,10,0,10,-11.11111111,0,10,0,0,0,0,0,0,10,-11.11111111,0,0,0,0,0,0,0,0,10,11.11111111,0,0.824956672,-1.728994237,-1.292209017,1.2956621,0.201083617,-1.131751532,3.029820652,-5.856033689,2.07319701,2.171069505,3.796584685,2.072067248,-7.986772222,4.877199094,2.140573349,-1.782875312,-4.241257058,1.391926824,-0.0678724,0.423122765,0.695116054,2.329959991,-0.215232938,-0.189671523,-4.920025592,-3.194781698,2.189199325,1.550895588,-1.590996029,-8.582952371,-0.991774109,0.559440559,0,2,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,2,0,2,0,0,2,0,0,0,2,0,0,0,2.277777778
10,999,27,0,0,8,42885,200346,430,686286,42.892875,24404,2145,0.021738932,46911.25,0.196456074,5,47315,46457,46676,47223,47289,425,2145,0,0.080248348,0.081729218,0.081346063,0.080404562,0.080292433,0,0,0,0,0,0,0,0,0,10,-11.11111111,0,0,0,0,0,0,0,0,10,-11.11111111,0,0,0,0,0,0,0,0,10,-11.11111111,0,0.824956672,-1.728994237,-1.292209017,1.2956621,0.201083617,-1.312276317,3.020534862,-5.856033689,2.07319701,2.171069505,3.796584685,-2.280880227,-7.986772222,4.877199094,2.140573349,-1.782875312,-4.241257058,1.391926824,-0.0678724,0.423122765,0.695116054,2.329959991,-0.215232938,-0.189671523,-4.920025592,-3.194781698,2.189199325,1.550895588,-1.590996029,-0.367318733,-0.991774109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5
10,999,27,0.97,1.03,6,42887,187733,421,686288,42.893,24153,2123,0.020370334,47062.66667,0.195824008,4,47315,0,46676,47223,47289,402,2123,20,0.080248348,100,0.081346063,0.080404562,0.080292433,5.411764706,0,0,0,0,0,0,0,0,10,11.11111111,10,0,10,10,0,10,10,10,10,-11.11111111,0,0,0,0,0,0,0,0,10,-11.11111111,0,0.824956672,-1.728994237,-1.292209017,1.329908676,0.201083617,-1.312276317,3.020534862,-5.856033689,2.07319701,0.354257502,4.050167663,-2.280880227,-1.34616027,4.294644758,2.140573349,-2.114719762,0.609367629,3.864253994,-0.0678724,0.423122765,0.695116054,2.329959991,-0.215232938,-0.189671523,-4.920025592,-3.194781698,2.189199325,1.550895588,-1.590996029,-0.367318733,-0.991774109,1.025641026,2,2,0,2,2,4,0,0,2,0,0,2,0,0,0,0,4,2,2,0,0,0,0,0,2,0,0,4,0,2,2,2.391304348
10,999,27,4.57,4.99,8,42886,169308,394,686289,42.893062,23186,2038,0.018371094,46840,0.19675491,3,47315,46457,0,47223,0,349,2038,40,0.080248348,0.081729218,100,0.080404562,100,17.88235294,0,20,0,20,0,10,20,0,20,-11.11111111,0,10,10,0,10,0,20,0,10,22.22222222,0,0,100,80,100,20,10,10,10,-11.11111111,0,0.824956672,1.877410409,-1.235615922,2.2331621,0.201083617,-1.81976557,1.571454155,-5.856033689,2.017199143,2.171069505,3.796584685,-4.10903488,-11.63999955,4.929454799,2.3043528,-1.816942993,2.262879153,1.415788427,-0.0678724,-3.677847778,0.767649903,2.329959991,100,1.112164842,100,-6.603818502,2.72308686,1.975632251,-1.558669662,-0.367318733,-0.956770317,4.988344988,2,8,8,0,4,6,4,4,6,4,2,4,4,10,4,8,2,4,2,6,6,10,4,4,8,8,8,6,6,4,0,1.55
