GeneralFileSize,GeneralDuration,GeneralOverallBitRate,GeneralFrameRate,GeneralFrameCount,GeneralStreamSize,GeneralStreamSizeProportion,GeneralDataSize,GeneralFooterSize,VideoDuration,VideoSourceDuration,VideoBitRate,VideoFrameRate,VideoFrameCount,VideoBits(Pixel*Frame),VideoStreamSize,VideoStreamSizeProportion,NR,KeyInt,KeyIntMin,QP,AudioDuration,AudioBitRate,AudioFrameCount,AudioStreamSize,AudioStreamSizeProportion,VideoOctetsReceived,VideoPacketsreceived,VideoPacketsLost,VideoPacketLossRate,AudioOctetsReceived,AudioPacketsReceived,AudioPacketsLost,AudioPacketLossRate,MOS
747203,42892,139365,20,847,69256,0.09269,677955,69220,42892,42886,103545,20,847,0.006,548139,0.73359,999,200,20,35,42892,24211,2128,129808,0.17373,559262,1777,16,0.89,131874,2127,17,0.79,3.03333333333
699940,42892,130549,20,815,64420,0.09204,635528,64384,42892,42885,100347,20,815,0.005,511141,0.73026,999,200,20,35,42891,23199,2039,124379,0.1777,540325,1705,88,4.91,126356,2038,106,4.94,2.23333333333
5092908,42892,949904,25,1070,74048,0.01454,5018868,74012,42873,42864,913659,25,1070,0.04,4888076,0.95978,0,250,25,23,42892,24393,2144,130784,0.02568,4961722,5180,6,0.12,132866,2143,1,0.05,4.53448275862
5082723,42891,948026,25,1052,73620,0.01448,5009111,73584,42871,42864,927530,25,1052,0.04,4878807,0.95988,0,250,25,23,42891,24303,2136,130296,0.02564,4941077,5160,26,0.5,132370,2135,9,0.42,2.32
5172472,42890,964788,25,1073,74428,0.01439,5098052,74392,42872,42866,925853,25,1073,0.04,4967199,0.96031,0,250,25,23,42890,24406,2145,130845,0.0253,4965892,5186,0,0.0,132928,2144,0,0.0,4.58620689655
4879342,42893,910049,25,1025,72432,0.01484,4806918,72396,42874,42866,912665,25,1025,0.04,4677407,0.95861,0,250,25,23,42893,24154,2123,129503,0.02654,4913322,5131,55,1.06,131564,2122,22,1.03,1.94827586207
4052914,42893,755912,25,878,67392,0.01663,3985530,67356,42874,42866,879531,25,878,0.038,3861143,0.95268,0,250,25,23,42893,23198,2039,124379,0.03069,4696733,4918,268,5.17,126356,2038,106,4.94,1.23333333333
4048319,42891,755090,25,1069,72812,0.01799,3975515,72776,42871,42862,719335,25,1069,0.031,3844845,0.94974,999,250,25,23,42891,24371,2142,130662,0.03228,3851095,4418,5,0.11,132742,2141,3,0.14,3.7962962963
3922619,42891,731644,25,1051,72056,0.01837,3850571,72020,42871,42862,707960,25,1051,0.031,3720328,0.94843,999,250,25,23,42891,24291,2135,130235,0.0332,3828091,4395,28,0.63,132308,2134,10,0.47,2.7962962963
4061621,42891,757571,25,1073,72532,0.01786,3989097,72496,42871,42862,719151,25,1073,0.031,3858244,0.94993,999,250,25,23,42891,24405,2145,130845,0.03221,3855411,4423,0,0.0,132928,2144,0,0.0,4.51785714286
3789004,42891,706722,25,1032,72268,0.01907,3716744,72232,42872,42864,695153,25,1032,0.03,3586989,0.94668,999,250,25,23,42891,24200,2127,129747,0.03424,3805318,4375,48,1.09,131812,2126,18,0.84,3.62962962963
3301253,42892,615733,25,930,66812,0.02024,3234449,66776,42873,42864,668949,25,930,0.029,3110611,0.94225,999,250,25,23,42892,23096,2030,123830,0.03751,3674995,4200,223,5.04,125798,2029,115,5.36,1.23333333333
2243091,42892,418370,25,1070,73492,0.03276,2169607,73456,42872,42866,381110,25,1070,0.017,2038937,0.90899,0,250,25,27,42892,24370,2142,130662,0.05825,2034122,3113,3,0.1,132742,2141,3,0.14,3.35714285714
2220894,42891,414240,25,1061,72420,0.03261,2148482,72384,42871,42866,380487,25,1061,0.017,2018483,0.90886,0,250,25,27,42891,24246,2131,129991,0.05853,2024947,3100,16,0.51,132060,2130,14,0.65,4.14814814815
2247131,42893,419114,25,1073,72660,0.03233,2174479,72624,42874,42868,380918,25,1073,0.017,2043626,0.90944,0,250,25,27,42893,24404,2145,130845,0.05823,2037863,3116,0,0.0,132928,2144,0,0.0,4.375
2209113,42891,412042,25,1053,72180,0.03267,2136941,72144,42871,42865,381278,25,1053,0.017,2007430,0.9087,0,250,25,27,42891,24155,2123,129503,0.05862,2018596,3085,31,0.99,131564,2122,22,1.03,2.67857142857
1879556,42890,350582,25,975,69316,0.03688,1810248,69280,42870,42863,345667,25,975,0.015,1685129,0.89656,0,250,25,27,42890,23336,2051,125111,0.06656,1936213,2961,155,4.97,127100,2050,94,4.38,1.36666666667
1966344,42893,366744,25,1072,74796,0.03804,1891556,74760,42873,42867,328512,25,1072,0.014,1760825,0.89548,999,250,25,27,42893,24381,2143,130723,0.06648,1754621,2836,2,0.07,132804,2142,2,0.09,4.43103448276
1955788,42892,364784,25,1065,74748,0.03822,1881048,74712,42873,42867,328858,25,1065,0.014,1751171,0.89538,999,250,25,27,42892,24223,2129,129869,0.0664,1750454,2821,17,0.6,131936,2128,16,0.75,3.25
1968199,42893,367090,25,1073,74780,0.03799,1893427,74744,42873,42866,328532,25,1073,0.014,1762574,0.89553,999,250,25,27,42893,24404,2145,130845,0.06648,1756011,2838,0,0.0,132928,2144,0,0.0,4.39655172414
1890439,42891,352603,25,1054,73832,0.03906,1816615,73796,42871,42866,320099,25,1054,0.014,1686921,0.89234,999,250,25,27,42891,24189,2126,129686,0.0686,1734206,2803,35,1.23,131750,2125,19,0.89,2.11666666667
1694145,42891,315991,25,988,69296,0.0409,1624857,69260,42871,42866,303961,25,988,0.013,1501568,0.88633,999,250,25,27,42891,22994,2021,123281,0.07277,1662214,2703,135,4.76,125240,2020,124,5.78,1.24137931034
1300854,42893,242623,25,1073,77516,0.05959,1223346,77480,42873,42870,203667,25,1073,0.009,1092676,0.83997,0,250,25,31,42893,24370,2142,130662,0.10044,1084594,2307,1,0.04,132742,2141,3,0.14,3.62962962963
1297135,42891,241941,25,1071,76524,0.05899,1220619,76488,42871,42864,203618,25,1071,0.009,1090376,0.8406,0,250,25,31,42891,24291,2135,130235,0.1004,1082579,2295,13,0.56,132308,2134,10,0.47,3.69642857143
1301131,42892,242680,25,1073,77604,0.05964,1223535,77568,42872,42865,203669,25,1073,0.009,1092682,0.83979,0,250,25,31,42892,24405,2145,130845,0.10056,1084596,2308,0,0.0,132928,2144,0,0.0,3.96551724138
1250470,42892,233231,25,1055,75016,0.05999,1175462,74980,42872,42865,198308,25,1055,0.009,1046073,0.83654,0,250,25,31,42892,24131,2121,129381,0.10347,1068707,2281,27,1.17,131440,2120,24,1.12,2.89285714286
1144401,42892,213448,25,1011,71656,0.06261,1072753,71620,42874,42870,187609,25,1011,0.008,948366,0.8287,0,250,25,31,42892,23199,2039,124379,0.10868,1028399,2193,115,4.98,126356,2038,106,4.94,1.48333333333
1244252,42892,232072,25,1073,77452,0.06225,1166808,77416,42873,42866,193129,25,1073,0.008,1036138,0.83274,999,250,25,31,42892,24370,2142,130662,0.10501,1028011,2292,1,0.04,132742,2141,3,0.14,3.71666666667
1206719,42892,225071,25,1064,77024,0.06383,1129703,76988,42873,42869,187845,25,1064,0.008,999338,0.82814,999,250,25,31,42892,24314,2137,130357,0.10803,1021499,2280,13,0.57,132432,2136,8,0.37,3.57692307692
1243841,42894,231984,25,1073,76852,0.06179,1166997,76816,42875,42868,193130,25,1073,0.008,1036144,0.83302,999,250,25,31,42894,24403,2145,130845,0.10519,1028013,2293,0,0.0,132928,2144,0,0.0,3.62962962963
1202246,42890,224247,25,1061,75968,0.06319,1126286,75932,42871,42863,187870,25,1061,0.008,996653,0.82899,999,250,25,31,42890,24178,2125,129625,0.10782,1017485,2266,27,1.18,131688,2124,20,0.93,3.58620689655
1129900,42893,210738,25,1020,71972,0.0637,1057936,71936,42873,42867,182989,25,1020,0.008,933244,0.82595,999,250,25,31,42893,23255,2044,124684,0.11035,984235,2182,111,4.84,126666,2043,101,4.71,1.35
866696,42893,161648,25,1070,77228,0.08911,789476,77192,42834,42830,123119,25,1070,0.005,658684,0.75999,0,250,25,35,42893,24393,2144,130784,0.1509,650404,2218,3,0.14,132866,2143,1,0.05,3.22413793103
845529,42891,157707,25,1067,77344,0.09147,768193,77308,42872,42865,119578,25,1067,0.005,637950,0.7545,0,250,25,35,42891,24291,2135,130235,0.15403,647481,2207,15,0.68,132308,2134,10,0.47,3.25
867055,42893,161715,25,1073,76164,0.08784,790899,76128,42873,42867,123028,25,1073,0.005,660046,0.76125,0,250,25,35,42893,24404,2145,130845,0.15091,651744,2222,0,0.0,132928,2144,0,0.0,3.1
822839,42892,153472,25,1063,75876,0.09221,746971,75840,42872,42867,116116,25,1063,0.005,617155,0.75003,0,250,25,35,42892,24211,2128,129808,0.15776,644314,2203,19,0.86,131874,2127,17,0.79,1.91379310345
774999,42891,144552,25,1024,72216,0.09318,702791,72180,42872,42867,112684,25,1024,0.005,576940,0.74444,0,250,25,35,42891,23472,2063,125843,0.16238,622200,2114,108,4.86,127844,2062,82,3.82,1.41666666667
859034,42891,160226,25,1073,76980,0.08961,782062,76944,42871,42867,121392,25,1073,0.005,651270,0.75814,999,250,25,35,42891,24394,2144,130784,0.15225,642969,2220,1,0.05,132866,2143,1,0.05,3.2037037037
855252,42893,159514,25,1067,75860,0.0887,779400,75824,42873,42866,121622,25,1067,0.005,648852,0.75867,999,250,25,35,42893,24347,2140,130540,0.15263,640587,2211,10,0.45,132618,2139,5,0.23,3.3275862069
859269,42892,160267,25,1073,77148,0.08978,782129,77112,42873,42866,121393,25,1073,0.005,651276,0.75794,999,250,25,35,42892,24405,2145,130845,0.15227,642971,2221,0,0.0,132928,2144,0,0.0,3.125
834345,42891,155621,25,1067,75320,0.09027,759033,75284,42871,42864,117987,25,1067,0.005,629461,0.75444,999,250,25,35,42891,24166,2124,129564,0.15529,638977,2209,12,0.54,131626,2123,21,0.98,2.98214285714
764815,42891,142653,25,1019,72424,0.09469,692399,72388,42871,42864,111293,25,1019,0.005,567036,0.7414,999,250,25,35,42891,23381,2055,125355,0.1639,612184,2117,104,4.68,127348,2054,90,4.2,1.6724137931
